Serial,Event,Code_County,County,Code_District,District,Code_Division,Division,Date_YMD,Cause,Description_of_Cause,Source,Magnitude,GLIDEnumber,Other_sectors,DataCards,Deaths,Injured,Missing,Houses_Destroyed,Houses_Damaged,Victims,Affected,Relocated,Evacuated,Losses_$USD,Losses_$Local,Education_centers,Hospitals,Damages_in_crops_Ha,Lost_Cattle,OBJECTID
Serial,Event,Code County,County,Code District,District,Code Division,Division,Date (YMD),Cause,Description of Cause,Source,Magnitude,GLIDEnumber,Other sectors,DataCards,Deaths,Injured,Missing,Houses Destroyed,Houses Damaged,Victims,Affected,Relocated,Evacuated,Losses $USD,Losses $Local,Education centers,Hospitals,Damages in crops Ha.,Lost Cattle,0
828,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300108,WESTLANDS,05/23/2011 07:00:00 AM +0000,Negligence,Pedestrian with baby knocked down,KPR,,,,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,522
830,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311011,MOLO,05/22/2011 07:00:00 AM +0000,Negligence,Pedestrians knocked down,KPR,,,,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,523
831,TRAFFIC ACCIDENT,38,SIAYA,3811,SIAYA,381106,WAGAI,06/05/2011 07:00:00 AM +0000,Error,Pedal cyclist knocked down by a motor vehicle,KPR,,,Bicycle was damaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,524
833,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,06/05/2011 07:00:00 AM +0000,Error,Pedestrian was knocked down by a pick - up,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,525
834,TRAFFIC ACCIDENT,4,BUSIA,402,BUSIA,40202,BUSIA TOWNSHIP,05/22/2011 07:00:00 AM +0000,Negligence,Pedal cyclist knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,526
837,TRAFFIC ACCIDENT,10,KAKAMEGA,1005,LUGARI,100502,LUGARI,05/22/2011 07:00:00 AM +0000,Negligence,Motor cyclist knocked down,KPR,,,Damaged Motorcycle and motor vehicle,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527
835,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311013,NAKURU MUNICIPALITY,06/05/2011 07:00:00 AM +0000,Hit and Run,Pedestrian was knocked down by an unknown car.,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,528
840,TRAFFIC ACCIDENT,28,MOMBASA,2805,MOMBASA,280502,ISLAND,03/22/2011 07:00:00 AM +0000,Negligence,Lost control and hit pedestrian,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,529
842,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300101,CENTRAL NAIROBI,04/02/2011 07:00:00 AM +0000,Error,PEDESTRIAN KNOCKED DOWN,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,530
844,TRAFFIC ACCIDENT,29,MURANGA,2904,MURANGA,,,03/22/2011 07:00:00 AM +0000,Negligence,Lost control,KPR,,,Lorry Namaged,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,531
846,TRAFFIC ACCIDENT,21,LAMU,2103,LAMU,210306,MPEKETONI,03/23/2011 07:00:00 AM +0000,Negligence,Pedal cyclist knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,532
847,TRAFFIC ACCIDENT,25,MARSABIT,2511,MOYALE,251101,CENTRAL MOYALE,03/23/2011 07:00:00 AM +0000,Error,Brake failure,KPR,,,,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,533
850,TRAFFIC ACCIDENT,30,NAIROBI,3001,NAIROBI,300103,EMBAKASI,03/23/2011 07:00:00 AM +0000,Negligence,Pedestrian knocked down,KPR,,,,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,534
853,TRAFFIC ACCIDENT,44,UASIN-GISHU,4417,UASIN GISHU,441703,KESSES,03/23/2011 07:00:00 AM +0000,Negligence,Lorry Hit a motorcycle,,,,Destroyed motorcycle,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,535
855,TRAFFIC ACCIDENT,31,NAKURU,3110,NAKURU,311011,MOLO,03/23/2011 07:00:00 AM +0000,Negligence,Lost control,KPR,,,Damaged Trailer and motorvehicle,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,536
